287.0,118.0,NULL,179
284.0,111.0,NULL,180
291.0,105.0,NULL,181
290.0,68.0,NULL,182
253.0,411.0,NULL,183
237.0,418.0,NULL,184
258.0,425.0,NULL,185
260.0,436.0,NULL,186
267.0,445.0,NULL,187
262.0,458.0,NULL,188
263.0,470.0,NULL,189
276.0,466.0,NULL,190
285.0,460.0,NULL,191
313.0,458.0,NULL,192
311.0,471.0,NULL,193
313.0,482.0,NULL,194
317.0,512.0,NULL,195
319.0,523.0,NULL,196
326.0,538.0,NULL,197
216.0,436.0,NULL,198
196.0,466.0,NULL,199
189.0,479.0,NULL,200
213.0,476.0,NULL,201
226.0,477.0,NULL,202
209.0,513.0,NULL,203
224.0,527.0,NULL,204
228.0,537.0,NULL,205
212.0,539.0,NULL,206
185.0,541.0,NULL,207
156.0,516.0,NULL,208
147.0,526.0,NULL,209
136.0,544.0,NULL,210
129.0,562.0,NULL,211
127.0,573.0,NULL,212
124.0,582.0,NULL,213
125.0,590.0,NULL,214
126.0,602.0,NULL,215
129.0,617.0,NULL,216
134.0,638.0,NULL,217
127.0,656.0,NULL,218
129.0,665.0,NULL,219
133.0,673.0,NULL,220
147.0,671.0,NULL,221
129.0,690.0,NULL,222
143.0,676.0,NULL,223
138.0,701.0,NULL,224
200.0,161.0,NULL,225
368.0,497.0,Nurmes,226
400.0,512.0,Lieksa,227
169.0,726.0,NULL,228
189.0,725.0,NULL,229
202.0,727.0,NULL,230
215.0,729.0,NULL,231
207.0,739.0,NULL,232
197.0,748.0,NULL,233
178.0,740.0,NULL,234
257.0,731.0,NULL,235
277.0,716.0,NULL,236
297.0,717.0,NULL,237
307.0,701.0,NULL,238
315.0,686.0,NULL,239
327.0,686.0,NULL,240
323.0,699.0,NULL,241
254.0,709.0,NULL,242
230.0,698.0,NULL,243
240.0,674.0,NULL,244
251.0,682.0,NULL,245
222.0,663.0,NULL,246
261.0,673.0,NULL,247
254.0,665.0,NULL,248
247.0,654.0,NULL,249
246.0,644.0,NULL,250
251.0,635.0,NULL,251
254.0,612.0,NULL,252
262.0,608.0,NULL,253
164.0,617.0,NULL,254
144.0,630.0,NULL,255
345.0,474.0,NULL,256
358.0,487.0,NULL,257
370.0,514.0,NULL,258
386.0,527.0,NULL,259
396.0,540.0,NULL,260
409.0,579.0,NULL,261
400.0,613.0,NULL,262
393.0,632.0,NULL,263
382.0,652.0,NULL,264
328.0,627.0,NULL,265
348.0,609.0,NULL,266
304.0,617.0,NULL,267
332.0,665.0,NULL,268
322.0,663.0,NULL,269
323.0,651.0,NULL,270
317.0,647.0,NULL,271
314.0,669.0,NULL,272
283.0,686.0,NULL,273
290.0,651.0,NULL,274
275.0,646.0,NULL,275
276.0,633.0,NULL,276
278.0,605.0,NULL,277
269.0,600.0,NULL,278
270.0,593.0,NULL,279
289.0,354.0,NULL,280
282.0,332.0,NULL,281
272.0,315.0,NULL,282
272.0,309.0,NULL,283
265.0,305.0,NULL,284
270.0,300.0,NULL,285
281.0,300.0,NULL,286
314.0,314.0,NULL,287
322.0,312.0,NULL,288
338.0,320.0,NULL,289
315.0,377.0,NULL,290
317.0,389.0,NULL,291
325.0,411.0,NULL,292
323.0,425.0,NULL,293
326.0,437.0,NULL,294
307.0,431.0,NULL,295
292.0,427.0,NULL,296
282.0,415.0,NULL,297
266.0,412.0,NULL,298
371.0,488.0,NULL,299
378.0,481.0,NULL,300
379.0,472.0,NULL,301
384.0,464.0,NULL,302
384.0,499.0,NULL,303
405.0,530.0,NULL,304
407.0,545.0,NULL,305
350.0,570.0,NULL,306
371.0,570.0,NULL,307
381.0,561.0,NULL,308
356.0,551.0,NULL,309
339.0,542.0,NULL,310
334.0,642.0,NULL,311
347.0,639.0,NULL,312
362.0,649.0,NULL,313
374.0,659.0,NULL,314
293.0,676.0,NULL,315
281.0,661.0,NULL,316
149.0,609.0,NULL,317
150.0,591.0,NULL,318
242.0,524.0,NULL,319
238.0,513.0,NULL,320
229.0,504.0,NULL,321
233.0,497.0,NULL,322
245.0,494.0,NULL,323
262.0,575.0,NULL,324
289.0,563.0,NULL,325
295.0,585.0,NULL,326
323.0,560.0,NULL,327
212.0,692.0,NULL,328
177.0,703.0,NULL,329
166.0,712.0,NULL,330
216.0,623.0,NULL,331
210.0,612.0,NULL,332
202.0,592.0,NULL,333
227.0,571.0,NULL,334
230.0,556.0,NULL,335
243.0,539.0,NULL,336
279.0,529.0,NULL,337
288.0,526.0,NULL,338
298.0,526.0,NULL,339
310.0,522.0,NULL,340
318.0,532.0,NULL,341
324.0,532.0,NULL,342
337.0,526.0,NULL,343
350.0,514.0,NULL,344
359.0,509.0,NULL,345
349.0,499.0,NULL,346
343.0,503.0,NULL,347
333.0,494.0,NULL,348
324.0,496.0,NULL,349
318.0,493.0,NULL,350
351.0,461.0,NULL,351
362.0,458.0,NULL,352
260.0,693.0,NULL,353
159.0,697.0,NULL,354
162.0,691.0,NULL,355
167.0,659.0,NULL,356
160.0,651.0,NULL,357
160.0,630.0,NULL,358
234.0,460.0,NULL,359
242.0,442.0,NULL,360
244.0,430.0,NULL,361
251.0,424.0,NULL,362
166.0,576.0,NULL,363
172.0,593.0,NULL,364
154.0,557.0,NULL,365
146.0,540.0,NULL,366
247.0,593.0,NULL,367
234.0,582.0,NULL,368
316.0,614.0,NULL,369
295.0,476.0,NULL,370
258.0,515.0,NULL,371
262.0,504.0,NULL,372
243.0,284.0,NULL,373
230.0,283.0,NULL,374
218.0,271.0,NULL,375
266.0,451.0,NULL,376
251.0,445.0,NULL,377
241.0,435.0,NULL,378
207.0,271.0,NULL,379
190.0,517.0,NULL,380
206.0,554.0,NULL,381
193.0,551.0,NULL,382
135.0,575.0,NULL,383
184.0,595.0,NULL,384
219.0,576.0,NULL,385
303.0,367.0,NULL,386
333.0,461.0,NULL,387
384.0,617.0,NULL,388
389.0,624.0,NULL,389
158.0,707.0,NULL,390
331.0,573.0,NULL,391
384.0,608.0,NULL,392
393.0,603.0,NULL,393
400.0,596.0,NULL,394
193.0,627.0,NULL,395
200.0,620.0,NULL,396
195.0,612.0,NULL,397
170.0,527.0,NULL,398
170.0,517.0,NULL,399
182.0,503.0,NULL,400
160.0,543.0,NULL,401
245.0,668.0,NULL,402
242.0,661.0,NULL,403
245.0,694.0,NULL,404
220.0,701.0,NULL,405
433.0,552.0,Ilomantsi,406
424.0,562.0,NULL,407
188.0,712.0,NULL,408
186.0,698.0,NULL,409
201.0,524.0,NULL,410
241.0,613.0,NULL,411
